ハッカソン名,期間,開催場所,イベントサイトURL,チーム名,チーム人数,製作物,GitHubリポジトリ,受賞歴
P2HACKS2025,2025/12/13-2025/12/21,公立はこだて未来大学,https://p2hacks2025.github.io/,技術者保育園,5,きらきらおなまえできあがり,https://github.com/p2hacks2025/pre-21,Cyber Agent賞受賞
JPHACKS2025,2025/10/18-2025/10/19,北海道大学,https://jphacks.com/2025/,のりとも,4,のりとも,https://github.com/jphacks/sp_2508,
Engineer Guild Hackathon,2025/09/06-2025/09/13,オンライン,https://howtv.connpass.com/event/362116/,なぞのばしょ,5,monoEcho,https://github.com/Engineer-Guild-Hackathon/team-27-app,
P2HACKS2024,2024/12/07-2024/12/15,公立はこだて未来大学,https://p2hacks2024.github.io/,都道府県_函館市,4,フラッシュドロー,https://github.com/p2hacks2024/pre-16,pixiv賞受賞
